iter	Passed	Remaining
0	135	135710
1	137	68546
2	139	46254
3	140	35103
4	142	28426
5	144	23959
6	146	20726
7	147	18319
8	149	16472
9	151	14982
10	152	13753
11	154	12712
12	155	11825
13	157	11066
14	158	10394
15	159	9798
16	160	9297
17	161	8834
18	163	8417
19	164	8037
20	165	7694
21	166	7380
22	166	7088
23	167	6817
24	168	6568
25	169	6336
26	169	6125
27	170	5930
28	171	5747
29	172	5573
30	173	5411
31	173	5261
32	174	5123
33	175	4992
34	176	4863
35	177	4741
36	177	4627
37	178	4519
38	179	4417
39	180	4320
40	180	4231
41	181	4144
42	182	4072
43	184	3998
44	185	3926
45	185	3856
46	186	3787
47	187	3719
48	188	3652
49	188	3589
50	189	3528
51	190	3470
52	191	3415
53	192	3363
54	192	3311
55	193	3263
56	194	3216
57	195	3173
58	196	3129
59	196	3085
60	197	3041
61	198	3000
62	199	2960
63	199	2921
64	200	2883
65	201	2846
66	201	2812
67	202	2779
68	203	2748
69	204	2720
70	205	2693
71	206	2664
72	207	2637
73	208	2608
74	209	2580
75	210	2554
76	210	2528
77	211	2501
78	212	2476
79	213	2452
80	213	2427
81	214	2404
82	215	2379
83	216	2359
84	217	2338
85	217	2316
86	218	2295
87	219	2274
88	220	2254
89	220	2233
90	221	2214
91	222	2195
92	223	2176
93	224	2160
94	224	2143
95	225	2127
96	227	2116
97	228	2101
98	229	2086
99	230	2070
100	231	2056
101	231	2040
102	232	2024
103	233	2009
104	234	1996
105	235	1982
106	235	1968
107	236	1953
108	237	1941
109	238	1932
110	239	1919
111	240	1906
112	241	1893
113	241	1880
114	242	1867
115	243	1855
116	244	1842
117	245	1831
118	245	1820
119	246	1809
120	247	1798
121	248	1786
122	249	1777
123	250	1768
124	251	1758
125	252	1748
126	252	1737
127	253	1727
128	254	1717
129	255	1706
130	255	1697
131	256	1688
132	257	1679
133	258	1669
134	259	1661
135	260	1654
136	261	1647
137	262	1641
138	263	1634
139	264	1626
140	265	1619
141	266	1609
142	267	1602
143	268	1596
144	269	1590
145	270	1583
146	271	1575
147	272	1570
148	273	1564
149	274	1558
150	275	1551
151	277	1545
152	278	1539
153	279	1533
154	280	1528
155	281	1521
156	282	1515
157	283	1509
158	284	1503
159	285	1497
160	285	1489
161	286	1483
162	287	1477
163	288	1472
164	289	1467
165	290	1461
166	291	1455
167	292	1449
168	293	1443
169	294	1438
170	296	1435
171	297	1429
172	297	1424
173	298	1418
174	299	1413
175	300	1408
176	301	1403
177	302	1399
178	303	1393
179	304	1388
180	305	1383
181	306	1379
182	308	1375
183	309	1371
184	310	1366
185	311	1363
186	312	1359
187	313	1355
188	314	1351
189	315	1347
190	317	1342
191	318	1339
192	319	1335
193	320	1332
194	322	1329
195	323	1325
196	324	1321
197	325	1317
198	326	1313
199	327	1309
200	328	1305
201	329	1301
202	330	1297
203	331	1292
204	332	1288
205	333	1284
206	334	1280
207	335	1276
208	336	1271
209	336	1267
210	337	1263
211	338	1258
212	339	1255
213	340	1251
214	341	1248
215	342	1244
216	343	1240
217	344	1236
218	345	1232
219	346	1229
220	347	1224
221	348	1220
222	349	1216
223	350	1212
224	351	1209
225	352	1205
226	353	1202
227	354	1199
228	355	1196
229	356	1192
230	357	1189
231	358	1186
232	359	1182
233	360	1179
234	361	1175
235	362	1172
236	363	1168
237	364	1165
238	365	1163
239	366	1159
240	367	1157
241	368	1154
242	369	1151
243	370	1148
